id,Name,City,Languages,Specialty,Harga(per-day),lat,long
1,Didi,Bali,"Melayu, English, Indonesian, Msa","I am licensed travel guide, speak good English, Bahasa Indonesia and Malay. I have served thousands f visitor from various country, with an excellent reputation. The reason I am on this service field because I have the biggest passion in the tourism business.","400,000.00",-8.409518,115.188919
2,Chryssan,Surabaya,"English, Indonesian","Hi✨ My name is Tania and Student of Communication in one of University in Surabaya. I really like traveling, finding and take a moment at nature gems, traditional foodies and historical places, culture and languages enthusiast.
I can be your cheerfull tour guide in Surabaya and we can explore Surabaya and also Madura island together too 🙀💓","350,000.00",-7.257472,112.752088
3,Ade Naufal,Makassar,"English, Indonesian","Hi! I'm Naufal, I'm a friendly person, fun, I loved to traveling, try local food, and meet new people. Let's explore Makassar with me and I'll bring you to the authentic place in Makassar City","500,000.00",-5.147665,119.432731
4,Antonius,Jakarta,"English, Indonesian","Hello,I'm Anton,I grew up in this city ,I had already graduated From Indonesia Christian University in JAKARTA ,majoring English literature in 2005.According to our Archipelago island, Indonesia had many historical and cultures.","450,000.00",-6.208763,106.845599
5,Reza,Bali, English,Travel loving person that love to enjoy culinair and both movie & music enthusiast. Once working on a various hotels around Bali and now a Full time hospitality teacher and a rocket scientist 😁.,"300,000.00",-8.408518,115.172
6,Gede Nopi,Bali,"English, Indonesian","My name is Gede Nopi. I graduated from the Tourism Faculty of Udayana University in Bali, and since 2011 I have worked as a driver and guide in Bali.","450,000.00",-8.407518,115.178904
7,made yoga,Bali,"Melayu, English, Msa, Indonesian, 日本語","Dear value guest, introducing my name is made yoga, i am a local who born in a countryside in bali, i am a tour driver in bali with 2 different specialist language spoken,English and japanese.","300,000.00",-8.410518,115.180871
8,I Made,Bali,"English, Deutsch, Indonesian",German and English speaking Tours Guide,"400,000.00",-8.409018,115.190333
9,Emir,Jakarta,"English, Indonesian","I live in Jakarta for over than 30 years, I love to make a new friends from all over the world and I have a lot of culinary preferences that I would love to share. I also know a lot of entertainment preference, bars and club for your experience. I can make sure your visit to Indonesia will be unforgettable and being your fun experience.","500,000.00",-6.218763,106.85576
10,Agung,Bali,"Melayu, English, Msa, Indonesian","I was born in eastern part of Bali , grown up in west coast of Bali and now settled in south part of Bali . These gave me more knowledge about different part of the island . I work in the tourism industry for the last 20 years ranging from restaurant , hotel and cruise lines . Working in the international environment broaden my perspective and improved my understanding of clients expectations is service industry","250,000.00",-8.670458,115.212629
11,Erna,Yogyakarta,"English, Indonesian","I was born, raised and still live in Yogyakarta. Therefore, I can tell you a lot about this beautiful city. I am a guide, public relations at collage and yoga instructor, very adventurous person and I like music, movies, travelling and starting adventures with new friends!","300,000.00",-7.797068,110.370529
